node_id,x,y
154794712,-82.4564424,38.4143465
154794714,-82.4579217,38.4140744
154794716,-82.4586609,38.4138877
154794718,-82.4588782,38.4138317
154794720,-82.4597437,38.4136141
154794722,-82.4604734,38.4134318
154794724,-82.4612328,38.4132401
154794726,-82.4613412,38.4132148
154794728,-82.4626265,38.4128943
154795056,-82.491803,38.4087236
154795061,-82.4915561,38.4081087
154795091,-82.4223825,38.409024
154795093,-82.4219999,38.4089932
154795095,-82.4207524,38.4088878
154795097,-82.4191251,38.4087466
154795219,-82.4542222,38.4087555
154795221,-82.4557929,38.4083751
154795223,-82.4572893,38.4080029
154795225,-82.4587977,38.4076304
154795228,-82.4603611,38.4072423
154795229,-82.4614759,38.4069679
154795231,-82.4625716,38.4066978
154795269,-82.4143172,38.4258122
154795644,-82.4663669,38.401258
154795652,-82.4684026,38.400947
154795882,-82.3844643,38.4292002
154795887,-82.3847325,38.4280257
154796013,-82.3951898,38.4009943
154796049,-82.3942161,38.4006769
154796128,-82.399615,38.4307775
154796130,-82.3989725,38.4284823
154796132,-82.3984421,38.4265976
154796140,-82.3974354,38.4230093
154797069,-82.3812691,38.4259938
154797126,-82.3796153,38.4256412
154797132,-82.4885907,38.4085393
154797134,-82.4883094,38.4078775
154797137,-82.4874371,38.4058519
154797145,-82.4901321,38.4108765
154797185,-82.4380763,38.396304
154798024,-82.4061184,38.4067996
154798026,-82.4060329,38.4008771
154798030,-82.4060035,38.3996559
154798050,-82.4807026,38.4139945
154798052,-82.4797984,38.4119107
154798054,-82.4795156,38.4112487
154798056,-82.4793959,38.4109765
154798058,-82.4791145,38.4103198
154798060,-82.4782441,38.4082915
154798062,-82.4778096,38.4072792
154798065,-82.4773736,38.4062648
154798256,-82.4044837,38.4355991
154798261,-82.4026177,38.4004126
154798263,-82.4025253,38.3991747
154798265,-82.4024458,38.3983919
154798269,-82.4021625,38.4047684
154798271,-82.4020804,38.4027951
154798273,-82.4019905,38.4009422
154798536,-82.3566069,38.4152202
154798537,-82.3565036,38.414563
154798748,-82.4619587,38.3922762
154798761,-82.4630094,38.3930083
154798786,-82.4639039,38.3960421
154798806,-82.3870211,38.4305255
154798807,-82.387237,38.4296105
154798812,-82.3880987,38.4259643
154798821,-82.3885973,38.4243626
154798830,-82.3883743,38.4237811
154798832,-82.3885734,38.4227971
154798834,-82.3889342,38.4211186
154798878,-82.3567933,38.4164675
154798880,-82.3615737,38.4160246
154798882,-82.3631702,38.4158796
154798886,-82.3663547,38.4155849
154798888,-82.3679518,38.4154377
154798890,-82.3692528,38.4153174
154798891,-82.3702001,38.4152288
154798906,-82.3707079,38.4145556
154798908,-82.3722891,38.4144123
154798910,-82.373836,38.4142751
154798912,-82.3770344,38.4142051
154798914,-82.3785909,38.4141684
154798922,-82.4228376,38.4069218
154798926,-82.4205621,38.4069737
154798934,-82.4181156,38.4070387
154798939,-82.4246652,38.4066973
154798940,-82.4236742,38.4068528
154798941,-82.4228353,38.4069052
154799702,-82.4117998,38.4027075
154799716,-82.411639,38.3998483
154799720,-82.4120884,38.406278
154800198,-82.3986371,38.4134313
154800210,-82.398387,38.4111414
154800211,-82.3983273,38.4107538
154800212,-82.3982079,38.4103497
154800213,-82.3979022,38.4095993
154800319,-82.3589175,38.4171973
154800326,-82.4059937,38.4354263
154800380,-82.4617386,38.4145033
154800386,-82.4602984,38.4113753
154800387,-82.4593098,38.4089104
154800388,-82.4584228,38.40669
154800393,-82.460864,38.412022
154800398,-82.4688097,38.4007578
154800424,-82.472129,38.3997898
154800441,-82.3755124,38.4295468
154800449,-82.3757268,38.4312415
154800454,-82.3704477,38.4126873
154800457,-82.3706268,38.4139451
154800639,-82.4878872,38.4120447
154800659,-82.4352917,38.4222868
154800661,-82.4341496,38.4182112
154800663,-82.4340032,38.4177014
154800676,-82.432663,38.4139081
154800678,-82.432107,38.4125126
154800680,-82.431873,38.4119354
154800685,-82.4313479,38.4102603
154800688,-82.431274,38.4094259
154800698,-82.4337311,38.416539
154800699,-82.4335036,38.4157199
154800846,-82.4814209,38.41147
154800856,-82.4806087,38.4099229
154800857,-82.4797445,38.4078951
154800945,-82.3895451,38.4211943
154801211,-82.3845193,38.4187939
154801281,-82.4636422,38.4110657
154801283,-82.4691973,38.4095613
154801285,-82.4712448,38.4090212
154801287,-82.4733674,38.4084585
154801289,-82.4747696,38.4080873
154801291,-82.4762911,38.4076806
154801298,-82.4809074,38.4064482
154801308,-82.4857673,38.4051582
154801310,-82.4854863,38.4052638
154801312,-82.4839657,38.4056449
154801314,-82.4821162,38.4061294
154801393,-82.416606,38.4019731
154801397,-82.4166039,38.4018419
154801451,-82.4428909,38.4236119
154801459,-82.4446028,38.4234233
154801461,-82.4460938,38.4231716
154801466,-82.4495326,38.4221375
154801480,-82.4382793,38.423408
154801516,-82.4101786,38.4101379
154801521,-82.408685,38.4093043
154801527,-82.4060507,38.4075895
154801746,-82.4396441,38.4016166
154801816,-82.4455322,38.4017294
154801950,-82.3981871,38.4135715
154802031,-82.4014154,38.3979008
154802050,-82.4032444,38.3961763
